"Name","Location","Function Signature","Function Size"
"uart_reset_ring","00010468","undefined uart_reset_ring()","74"
"GPPBuf_allocate_and_init","000104b2","undefined GPPBuf_allocate_and_init()","24"
"FUN_000104cc","000104cc","undefined FUN_000104cc()","36"
"uart_rx_onebyte_status","00010520","undefined uart_rx_onebyte_status()","38"
"uart_rx_multibyte_status","00010546","undefined uart_rx_multibyte_status()","298"
"uart_poll","00010670","void uart_poll(int param_1\, undefined4 param_2\, undefined4 param_3\, uint param_4)","106"
"uart_rx_init","000106da","void uart_rx_init(void)","40"
"poll_all_uarts","00010702","undefined poll_all_uarts()","24"
"uart_xmit_cmd_1","00010738","undefined uart_xmit_cmd_1()","34"
"uart_xmit_cmd_4","0001075a","undefined uart_xmit_cmd_4()","74"
"uart_put_raw","000107a4","undefined uart_put_raw()","4"
"uart_tx_cmd_set_id","000107a8","void uart_tx_cmd_set_id(int param_1)","8"
"uart_tx_cmd_d4d5","000107b0","void uart_tx_cmd_d4d5(int param_1\, char param_2)","10"
"uart_tx_cmd_d9d8","000107ba","void uart_tx_cmd_d9d8(int param_1\, char param_2)","14"
"uart_tx_cmd_c0c1","000107c8","undefined uart_tx_cmd_c0c1()","12"
"uart_tx_cmd_cccd","000107d4","undefined uart_tx_cmd_cccd()","12"
"uart_tx_cmd_c6c7","000107e0","undefined uart_tx_cmd_c6c7()","12"
"uart_tx_cmd_c2c3","000107ec","undefined uart_tx_cmd_c2c3()","12"
"channel_send_init_cmds","000107f8","undefined channel_send_init_cmds()","80"
"uart_tx_cmd_ac","00010848","undefined uart_tx_cmd_ac()","14"
"uart_tx_cmd_b0","00010856","undefined uart_tx_cmd_b0()","16"
"uart_tx_cmd_80","0001086e","undefined uart_tx_cmd_80()","12"
"channel_reinit","0001087c","undefined channel_reinit()","122"
"FUN_00010910","00010910","undefined FUN_00010910()","32"
"FUN_00010962","00010962","undefined FUN_00010962()","34"
"FUN_00010984","00010984","undefined FUN_00010984()","48"
"FUN_000109b4","000109b4","undefined FUN_000109b4()","114"
"FUN_00010a26","00010a26","undefined FUN_00010a26()","92"
"thunk_FUN_00010a26","00010a82","thunk undefined thunk_FUN_00010a26()","2"
"FUN_00010a84","00010a84","undefined FUN_00010a84()","90"
"FUN_00010ade","00010ade","undefined FUN_00010ade()","68"
"FUN_00010b88","00010b88","undefined FUN_00010b88()","84"
"FUN_00010bdc","00010bdc","undefined FUN_00010bdc()","124"
"FUN_00010c58","00010c58","undefined FUN_00010c58()","72"
"GPPChnInit","00010ca0","void GPPChnInit(void)","86"
"FUN_00010cf6","00010cf6","undefined FUN_00010cf6()","48"
"FUN_00010d26","00010d26","undefined FUN_00010d26()","248"
"FUN_00010e1e","00010e1e","undefined FUN_00010e1e()","488"
"FUN_0001106e","0001106e","undefined FUN_0001106e()","132"
"FUN_000110f2","000110f2","undefined FUN_000110f2()","290"
"calculate_channel_90","00011208","undefined calculate_channel_90()","30"
"calculate_channel_92","00011226","undefined calculate_channel_92()","32"
"FUN_00011246","00011246","undefined FUN_00011246()","30"
"FUN_00011264","00011264","undefined FUN_00011264()","30"
"FUN_000112ca","000112ca","undefined FUN_000112ca()","2"
"FUN_000112cc","000112cc","undefined FUN_000112cc()","120"
"FUN_00011344","00011344","undefined FUN_00011344()","266"
"FUN_0001144e","0001144e","undefined FUN_0001144e()","208"
"FUN_0001151e","0001151e","undefined FUN_0001151e()","128"
"FUN_0001159e","0001159e","undefined FUN_0001159e()","252"
"FUN_0001169a","0001169a","undefined FUN_0001169a()","134"
"FUN_00011798","00011798","undefined FUN_00011798()","56"
"FUN_000117d0","000117d0","undefined FUN_000117d0()","50"
"FUN_00011802","00011802","undefined FUN_00011802()","74"
"FUN_0001184c","0001184c","undefined FUN_0001184c()","68"
"FUN_000118ae","000118ae","undefined FUN_000118ae()","136"
"FUN_00011918","00011918","undefined FUN_00011918()","50"
"FUN_0001194a","0001194a","undefined FUN_0001194a()","154"
"chan_recalculate_all","000119e4","void chan_recalculate_all(void)","248"
"FUN_00011adc","00011adc","undefined FUN_00011adc()","36"
"FUN_00011b28","00011b28","undefined FUN_00011b28()","78"
"FUN_00011b76","00011b76","undefined FUN_00011b76(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","54"
"FUN_00011bac","00011bac","undefined FUN_00011bac(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","16"
"FUN_00011bbc","00011bbc","undefined FUN_00011bbc(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","16"
"FUN_00011bcc","00011bcc","undefined FUN_00011bcc()","420"
"FUN_00011d70","00011d70","undefined FUN_00011d70()","132"
"FUN_00011df4","00011df4","undefined FUN_00011df4()","110"
"chan_wait_for_voltage_zero","00011e1a","undefined chan_wait_for_voltage_zero()","190"
"GPPDisInit","00011eda","undefined GPPDisInit()","1"
